,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),RH (),WS (m/s),WD (degree),SR (W/mt2),RF (mm)
158,26-Sep-2020 - 00:00,27-Sep-2020 - 00:00,27.1,47.59,7.22,17.82,25.04,10.34,4.09,0.46,15.55,9.5,93.25,0.79,203.59,,0.01
159,27-Sep-2020 - 00:00,28-Sep-2020 - 00:00,27.13,50.53,,,,,2.89,0.47,13.36,10.6,91.35,0.91,79.27,,0.0
160,28-Sep-2020 - 00:00,29-Sep-2020 - 00:00,22.74,42.39,,,,,2.46,0.42,15.43,2.05,91.09,1.03,30.57,,0.0
161,29-Sep-2020 - 00:00,30-Sep-2020 - 00:00,39.39,71.54,,,,,2.82,0.51,16.04,3.03,90.97,1.01,81.91,,0.0
162,30-Sep-2020 - 00:00,01-Oct-2020 - 00:00,41.73,79.51,,,,,2.54,0.45,13.52,3.37,94.36,0.74,107.36,,0.17
163,01-Oct-2020 - 00:00,02-Oct-2020 - 00:00,39.84,80.23,,,,,2.38,0.46,15.07,3.7,89.69,0.68,122.36,,0.46
164,02-Oct-2020 - 00:00,03-Oct-2020 - 00:00,23.58,42.55,,,,,2.2,0.39,14.95,1.92,92.08,0.66,128.93,,0.0
165,03-Oct-2020 - 00:00,04-Oct-2020 - 00:00,29.47,60.03,6.53,24.21,30.74,8.65,3.36,0.46,13.81,4.94,90.85,0.62,193.23,,0.0
166,04-Oct-2020 - 00:00,05-Oct-2020 - 00:00,34.77,66.24,5.39,17.81,23.2,9.14,3.11,0.46,12.67,4.57,92.05,0.69,154.95,,0.08
167,05-Oct-2020 - 00:00,06-Oct-2020 - 00:00,39.51,72.94,6.3,18.3,24.59,9.27,2.7,0.51,9.3,4.33,93.99,0.49,213.73,,0.0
168,06-Oct-2020 - 00:00,07-Oct-2020 - 00:00,15.38,26.35,4.22,19.01,23.23,10.91,2.49,0.36,16.81,1.31,88.79,0.78,170.42,171.44,0.08
169,07-Oct-2020 - 00:00,08-Oct-2020 - 00:00,28.2,49.67,6.05,18.35,24.32,26.13,2.82,0.47,12.43,1.96,95.72,0.69,176.96,69.96,0.11
170,08-Oct-2020 - 00:00,09-Oct-2020 - 00:00,45.23,81.38,8.05,26.68,34.72,33.93,4.9,0.57,15.0,3.28,88.55,0.58,160.52,192.82,0.0
171,09-Oct-2020 - 00:00,10-Oct-2020 - 00:00,50.66,93.24,8.55,26.49,35.04,32.58,3.15,0.54,11.86,4.6,90.06,0.67,152.83,92.6,0.0
172,10-Oct-2020 - 00:00,11-Oct-2020 - 00:00,50.21,90.75,6.25,24.83,31.07,31.57,3.27,0.53,11.83,3.48,85.36,0.88,117.94,157.48,0.0
173,11-Oct-2020 - 00:00,12-Oct-2020 - 00:00,55.17,104.86,6.17,25.47,31.64,31.8,4.32,0.48,21.09,3.63,76.77,0.61,172.35,140.63,0.0
174,12-Oct-2020 - 00:00,13-Oct-2020 - 00:00,61.21,120.54,7.29,29.83,37.12,35.18,4.39,0.55,24.47,2.98,77.8,0.63,208.15,168.89,0.0
175,13-Oct-2020 - 00:00,14-Oct-2020 - 00:00,56.15,112.26,8.36,27.95,36.31,42.14,2.98,0.54,20.71,4.06,79.85,0.68,152.34,167.75,0.0
176,14-Oct-2020 - 00:00,15-Oct-2020 - 00:00,52.71,110.3,6.84,28.33,35.13,45.96,2.7,0.59,14.65,3.78,87.08,0.65,180.17,56.89,0.0
177,15-Oct-2020 - 00:00,16-Oct-2020 - 00:00,45.89,90.84,6.27,26.64,32.91,40.42,4.94,0.49,15.81,3.32,79.17,0.66,152.18,160.05,0.0
178,16-Oct-2020 - 00:00,17-Oct-2020 - 00:00,30.61,77.92,6.33,27.62,33.95,41.62,4.94,0.48,17.39,13.26,82.29,0.7,178.26,140.84,0.0
179,17-Oct-2020 - 00:00,18-Oct-2020 - 00:00,57.88,106.53,6.28,27.89,34.17,39.03,4.29,0.5,19.64,7.76,82.9,0.87,126.18,153.7,0.0
180,18-Oct-2020 - 00:00,19-Oct-2020 - 00:00,63.57,118.21,6.37,27.53,33.9,31.95,4.08,0.48,18.76,4.03,78.97,0.93,114.4,158.41,0.0
181,19-Oct-2020 - 00:00,20-Oct-2020 - 00:00,73.3,133.8,6.08,27.42,33.49,32.13,3.65,0.52,17.72,4.0,77.8,0.86,112.5,170.54,0.0
182,20-Oct-2020 - 00:00,21-Oct-2020 - 00:00,77.29,151.09,6.64,26.76,33.4,37.91,4.21,0.56,28.97,4.13,72.37,1.08,119.92,179.96,0.0
183,21-Oct-2020 - 00:00,22-Oct-2020 - 00:00,74.24,142.22,6.66,26.33,32.96,36.6,6.53,0.62,23.02,3.56,82.3,0.88,148.93,124.28,0.0
184,22-Oct-2020 - 00:00,23-Oct-2020 - 00:00,17.06,35.18,5.17,19.37,24.54,31.53,4.94,0.36,15.46,1.74,85.0,0.9,151.84,157.79,0.0
185,23-Oct-2020 - 00:00,24-Oct-2020 - 00:00,14.37,31.42,5.21,19.91,25.12,28.38,4.01,0.36,12.69,1.75,86.02,1.39,34.53,126.28,0.0
186,24-Oct-2020 - 00:00,25-Oct-2020 - 00:00,27.58,55.47,5.47,22.82,28.29,28.97,4.25,0.41,14.64,2.15,82.6,1.04,57.67,135.54,0.0
187,25-Oct-2020 - 00:00,26-Oct-2020 - 00:00,48.94,103.02,6.03,28.65,34.68,28.4,6.23,0.63,23.92,3.65,67.09,0.72,180.45,162.07,0.0
188,26-Oct-2020 - 00:00,27-Oct-2020 - 00:00,67.56,130.35,5.68,29.9,35.59,27.27,7.25,0.74,26.28,4.84,59.34,0.74,145.2,164.06,0.0
189,27-Oct-2020 - 00:00,28-Oct-2020 - 00:00,62.91,127.35,5.28,29.55,34.82,26.59,7.92,0.67,27.03,4.88,56.63,0.83,144.24,199.92,0.0
190,28-Oct-2020 - 00:00,29-Oct-2020 - 00:00,75.3,144.17,6.84,32.75,39.55,37.94,6.44,0.7,31.51,4.65,61.91,0.78,133.96,169.23,0.0
191,29-Oct-2020 - 00:00,30-Oct-2020 - 00:00,64.22,129.37,5.39,25.17,30.56,36.21,5.34,0.54,29.21,3.81,62.87,1.06,78.06,165.05,0.0
192,30-Oct-2020 - 00:00,31-Oct-2020 - 00:00,61.45,126.82,4.64,21.52,26.16,30.6,5.03,0.47,35.21,2.85,57.54,1.24,40.37,188.47,0.0
193,31-Oct-2020 - 00:00,01-Nov-2020 - 00:00,55.29,116.23,4.76,24.03,28.79,29.72,5.3,0.48,32.82,2.74,57.85,1.16,60.59,181.72,0.0
194,01-Nov-2020 - 00:00,02-Nov-2020 - 00:00,50.54,106.0,4.77,23.16,27.93,29.81,4.88,0.47,32.71,2.81,65.67,1.16,38.89,159.49,0.0
195,02-Nov-2020 - 00:00,03-Nov-2020 - 00:00,70.46,139.87,4.65,25.46,30.1,29.83,5.51,0.56,31.8,3.49,63.37,1.03,91.52,168.25,0.0
196,03-Nov-2020 - 00:00,04-Nov-2020 - 00:00,102.79,205.65,5.11,30.46,35.57,30.95,6.83,0.68,32.05,4.64,53.29,0.93,120.34,162.56,0.0
197,04-Nov-2020 - 00:00,05-Nov-2020 - 00:00,99.93,203.34,7.0,34.76,41.68,37.75,8.81,0.79,22.84,5.82,49.7,0.76,162.31,167.44,0.0
198,05-Nov-2020 - 00:00,06-Nov-2020 - 00:00,96.01,194.39,8.77,35.92,44.69,45.23,10.03,1.06,20.14,11.22,54.49,0.79,194.89,153.39,0.0
199,06-Nov-2020 - 00:00,07-Nov-2020 - 00:00,102.06,216.21,13.71,43.3,57.01,47.78,8.14,0.82,17.27,6.9,56.09,0.87,144.53,149.44,0.0
200,07-Nov-2020 - 00:00,08-Nov-2020 - 00:00,103.76,199.01,7.08,31.91,38.99,45.39,5.97,0.73,28.74,4.82,55.79,0.92,95.56,141.1,0.0
201,08-Nov-2020 - 00:00,09-Nov-2020 - 00:00,79.44,149.02,7.58,26.92,34.5,46.21,4.99,0.6,17.73,3.85,61.37,0.94,111.07,179.21,0.0
202,09-Nov-2020 - 00:00,10-Nov-2020 - 00:00,54.62,112.14,9.61,29.52,39.42,45.04,4.65,0.53,16.37,5.27,58.66,1.06,95.83,207.83,0.0
203,10-Nov-2020 - 00:00,11-Nov-2020 - 00:00,56.62,114.32,13.77,34.31,48.08,57.33,5.0,0.6,26.33,4.77,62.64,1.21,127.07,182.53,0.0
204,11-Nov-2020 - 00:00,12-Nov-2020 - 00:00,38.39,91.39,8.66,28.51,37.17,48.28,5.27,0.44,27.21,3.43,54.84,1.46,70.69,186.13,0.0
205,12-Nov-2020 - 00:00,13-Nov-2020 - 00:00,31.24,82.36,6.95,28.23,35.18,45.3,4.61,0.41,26.71,2.78,48.28,1.48,47.53,202.29,0.0
206,13-Nov-2020 - 00:00,14-Nov-2020 - 00:00,35.94,98.89,7.2,27.29,34.49,48.58,4.06,0.48,31.25,2.81,51.59,1.36,32.46,157.18,0.0
207,14-Nov-2020 - 00:00,15-Nov-2020 - 00:00,62.67,122.87,6.9,25.97,32.87,47.82,4.31,0.51,36.33,3.47,57.03,1.26,77.07,167.31,0.0
208,15-Nov-2020 - 00:00,16-Nov-2020 - 00:00,67.68,132.28,6.73,25.38,32.01,47.47,5.17,0.51,38.04,3.2,59.15,1.26,89.72,151.19,0.0
209,16-Nov-2020 - 00:00,17-Nov-2020 - 00:00,71.41,127.6,6.85,24.06,30.9,49.77,4.81,0.53,42.18,3.42,57.08,1.04,96.63,161.03,0.0
210,17-Nov-2020 - 00:00,18-Nov-2020 - 00:00,70.68,140.29,7.48,25.62,33.1,51.81,4.9,0.6,36.13,4.0,59.01,1.15,102.41,178.87,0.0
211,18-Nov-2020 - 00:00,19-Nov-2020 - 00:00,73.48,151.11,11.0,31.47,42.47,67.04,6.3,0.82,30.72,10.68,65.01,1.07,141.95,109.84,0.0
212,19-Nov-2020 - 00:00,20-Nov-2020 - 00:00,100.51,190.67,9.67,35.19,44.86,64.98,7.8,0.73,28.02,8.87,69.46,1.04,90.89,106.68,0.0
213,20-Nov-2020 - 00:00,21-Nov-2020 - 00:00,91.15,158.25,7.43,26.57,34.0,57.73,5.81,0.75,28.43,6.11,79.41,1.09,167.72,91.69,0.01
214,21-Nov-2020 - 00:00,22-Nov-2020 - 00:00,92.42,150.39,7.33,24.14,31.48,53.56,3.81,0.6,32.47,4.82,75.25,1.09,152.43,76.78,0.0
215,22-Nov-2020 - 00:00,23-Nov-2020 - 00:00,72.09,137.34,8.23,28.71,36.94,52.77,5.2,0.58,33.53,4.46,55.26,1.01,154.03,137.85,0.0
216,23-Nov-2020 - 00:00,24-Nov-2020 - 00:00,77.61,149.64,9.38,37.99,47.36,38.04,4.38,0.7,26.66,5.07,54.97,1.24,126.5,166.06,0.0
217,24-Nov-2020 - 00:00,25-Nov-2020 - 00:00,86.39,157.56,8.21,29.11,37.32,26.14,3.87,0.76,34.1,5.27,53.96,1.17,144.56,170.83,0.0
218,25-Nov-2020 - 00:00,26-Nov-2020 - 00:00,80.57,145.42,15.67,38.07,53.74,27.45,3.86,0.74,30.48,4.83,58.08,1.05,148.68,141.67,0.0
219,26-Nov-2020 - 00:00,27-Nov-2020 - 00:00,73.98,137.02,5.13,12.54,17.67,21.85,4.17,0.66,19.33,4.56,66.94,1.14,107.18,92.71,0.0
220,27-Nov-2020 - 00:00,28-Nov-2020 - 00:00,61.53,117.73,4.04,7.78,11.82,21.1,3.97,0.52,23.67,3.69,66.03,1.35,88.68,49.69,0.0
221,28-Nov-2020 - 00:00,29-Nov-2020 - 00:00,73.17,133.5,4.84,9.06,13.86,21.1,3.78,0.56,32.51,3.8,55.49,1.16,104.67,151.49,0.0
222,29-Nov-2020 - 00:00,30-Nov-2020 - 00:00,83.18,170.94,9.95,18.92,28.87,21.0,3.88,0.67,28.35,4.37,55.43,1.12,117.04,130.99,0.0
223,30-Nov-2020 - 00:00,01-Dec-2020 - 00:00,78.18,150.53,11.18,28.86,40.05,26.23,4.36,0.71,29.7,4.88,56.15,0.77,147.26,124.29,0.0
224,01-Dec-2020 - 00:00,02-Dec-2020 - 00:00,86.63,164.47,13.03,38.81,51.84,32.69,4.8,0.76,32.83,5.11,58.16,0.66,164.33,139.61,0.0
225,02-Dec-2020 - 00:00,03-Dec-2020 - 00:00,108.28,210.73,17.23,40.61,57.84,35.04,4.58,1.02,31.67,6.76,62.91,0.74,157.5,128.67,0.0
226,03-Dec-2020 - 00:00,04-Dec-2020 - 00:00,134.1,244.95,14.82,39.33,54.15,33.33,5.34,0.97,34.46,7.24,64.93,0.92,166.36,119.47,0.0
227,04-Dec-2020 - 00:00,05-Dec-2020 - 00:00,156.72,275.15,16.48,50.82,67.3,38.39,7.05,1.12,37.77,11.88,61.56,0.79,199.01,128.01,0.0
228,05-Dec-2020 - 00:00,06-Dec-2020 - 00:00,187.84,326.33,18.17,46.52,64.69,37.15,6.47,1.3,25.56,12.78,73.91,0.82,168.15,88.72,0.0
229,06-Dec-2020 - 00:00,07-Dec-2020 - 00:00,190.4,325.63,20.29,40.58,60.87,35.43,6.23,1.27,27.47,13.05,72.35,0.79,156.05,102.31,0.0
230,07-Dec-2020 - 00:00,08-Dec-2020 - 00:00,189.48,324.83,25.4,45.84,71.24,40.33,6.24,1.22,19.21,11.05,72.13,1.08,147.69,101.95,0.0
231,08-Dec-2020 - 00:00,09-Dec-2020 - 00:00,138.08,263.3,14.37,37.73,52.1,33.19,5.38,1.17,27.78,12.14,87.72,1.05,131.38,79.06,0.0
232,09-Dec-2020 - 00:00,10-Dec-2020 - 00:00,150.93,255.79,17.76,42.05,59.81,35.66,5.43,1.14,21.6,10.81,80.92,0.78,192.11,90.82,0.0
233,10-Dec-2020 - 00:00,11-Dec-2020 - 00:00,145.3,248.66,15.52,36.36,51.87,32.98,5.3,1.04,26.07,8.76,81.43,0.84,189.69,101.97,0.0
234,11-Dec-2020 - 00:00,12-Dec-2020 - 00:00,130.25,235.48,12.68,37.05,49.73,31.92,5.94,0.88,25.33,7.69,84.36,1.0,103.57,81.98,0.0
235,12-Dec-2020 - 00:00,13-Dec-2020 - 00:00,123.22,217.43,16.63,31.74,48.37,30.87,4.88,0.96,23.25,8.17,82.55,0.78,164.01,88.33,0.0
236,13-Dec-2020 - 00:00,14-Dec-2020 - 00:00,134.11,243.33,20.22,32.7,52.92,33.61,5.04,0.99,21.66,9.36,77.19,0.89,148.82,83.19,0.0
237,14-Dec-2020 - 00:00,15-Dec-2020 - 00:00,86.25,151.35,14.46,35.55,50.01,31.98,4.81,0.67,19.85,5.3,67.17,0.99,105.38,124.52,0.0
238,15-Dec-2020 - 00:00,16-Dec-2020 - 00:00,77.83,150.66,12.34,30.69,43.04,29.51,4.65,0.62,28.72,4.53,60.28,0.97,132.78,73.18,0.0
239,16-Dec-2020 - 00:00,17-Dec-2020 - 00:00,78.58,144.87,11.87,29.59,41.46,28.88,4.41,0.63,26.87,5.09,58.02,1.04,94.57,118.67,0.0
240,17-Dec-2020 - 00:00,18-Dec-2020 - 00:00,88.36,159.88,11.32,29.12,40.44,28.41,4.7,0.64,27.62,4.62,65.53,1.0,110.41,104.27,0.0
241,18-Dec-2020 - 00:00,19-Dec-2020 - 00:00,80.37,150.88,11.6,31.67,43.27,29.57,5.24,0.59,32.48,4.23,52.61,1.12,93.79,160.64,0.0
242,19-Dec-2020 - 00:00,20-Dec-2020 - 00:00,86.22,155.97,10.97,30.5,41.47,29.16,4.7,0.61,39.82,4.22,53.49,1.65,66.07,132.99,0.0
243,20-Dec-2020 - 00:00,21-Dec-2020 - 00:00,96.98,173.66,10.81,26.48,37.29,27.6,4.58,0.66,40.03,4.62,54.04,2.43,97.96,125.36,0.0
244,21-Dec-2020 - 00:00,22-Dec-2020 - 00:00,124.89,225.26,11.83,32.05,43.87,30.14,4.66,0.84,37.9,6.01,61.64,2.04,115.73,114.9,0.0
245,22-Dec-2020 - 00:00,23-Dec-2020 - 00:00,133.03,244.14,12.38,33.11,45.48,30.77,4.76,0.97,30.54,7.26,69.07,1.72,157.01,126.61,0.0
246,23-Dec-2020 - 00:00,24-Dec-2020 - 00:00,127.07,214.28,13.8,38.56,52.37,33.04,8.25,0.9,28.41,6.68,66.97,1.7,173.99,118.34,0.0
247,24-Dec-2020 - 00:00,25-Dec-2020 - 00:00,114.99,208.64,18.61,38.05,56.66,54.73,6.09,0.89,27.95,6.7,66.12,1.83,120.59,110.76,0.0
248,25-Dec-2020 - 00:00,26-Dec-2020 - 00:00,81.17,204.94,18.33,30.39,48.73,78.66,6.3,0.81,27.53,6.51,62.19,1.21,150.68,122.3,0.0
249,26-Dec-2020 - 00:00,27-Dec-2020 - 00:00,111.19,198.8,15.98,26.99,42.96,72.43,6.31,0.8,29.02,6.25,61.27,1.4,131.82,126.59,0.0
250,27-Dec-2020 - 00:00,28-Dec-2020 - 00:00,115.55,208.46,19.04,30.93,49.97,73.28,6.88,0.94,27.24,7.08,60.59,0.86,135.92,136.5,0.0
251,28-Dec-2020 - 00:00,29-Dec-2020 - 00:00,134.87,258.27,19.54,39.76,59.3,76.55,8.93,1.08,31.54,8.09,61.05,0.83,187.23,119.09,0.0
252,29-Dec-2020 - 00:00,30-Dec-2020 - 00:00,125.28,223.47,24.47,41.39,65.86,80.38,8.02,0.98,27.42,7.34,53.4,0.94,163.74,125.73,0.0
253,30-Dec-2020 - 00:00,31-Dec-2020 - 00:00,122.9,225.07,19.99,41.63,61.62,79.46,6.75,0.85,25.06,6.79,61.54,2.38,134.63,85.84,0.0
254,31-Dec-2020 - 00:00,01-Jan-2021 - 00:00,117.41,211.83,16.63,33.83,50.46,76.65,5.7,0.7,31.3,5.62,59.89,2.98,85.11,112.72,0.0
255,01-Jan-2021 - 00:00,02-Jan-2021 - 00:00,99.95,174.81,15.15,25.32,40.46,72.93,5.26,0.59,41.22,4.28,53.5,2.77,63.68,126.98,0.0
256,02-Jan-2021 - 00:00,03-Jan-2021 - 00:00,122.84,229.26,31.3,43.2,74.51,80.03,6.61,1.01,29.64,6.97,50.81,2.17,137.01,136.35,0.0
257,03-Jan-2021 - 00:00,04-Jan-2021 - 00:00,120.37,208.5,27.28,38.52,65.8,77.96,8.92,1.01,32.76,7.97,43.82,0.76,173.04,123.28,0.0
258,04-Jan-2021 - 00:00,05-Jan-2021 - 00:00,162.68,297.71,28.4,50.13,78.53,87.53,10.14,1.18,21.87,9.1,61.23,0.66,191.38,72.83,0.0
259,05-Jan-2021 - 00:00,06-Jan-2021 - 00:00,167.46,301.26,38.14,49.57,87.7,97.52,9.66,1.23,24.3,12.64,63.32,0.68,202.97,121.2,0.0
260,06-Jan-2021 - 00:00,07-Jan-2021 - 00:00,142.56,242.78,30.62,53.79,84.41,95.4,7.96,0.94,18.29,8.51,61.96,0.6,182.37,118.34,0.0
261,07-Jan-2021 - 00:00,08-Jan-2021 - 00:00,114.35,209.48,30.28,49.08,79.36,96.45,11.27,0.82,21.37,7.25,54.83,0.72,139.63,124.62,0.0
262,08-Jan-2021 - 00:00,09-Jan-2021 - 00:00,86.1,167.61,25.22,44.44,69.66,96.47,6.71,0.74,19.84,5.54,62.03,0.69,164.27,70.24,0.0
263,09-Jan-2021 - 00:00,10-Jan-2021 - 00:00,119.55,226.78,24.83,51.73,76.57,97.18,4.14,0.88,20.3,7.56,64.65,0.55,206.94,27.12,0.0
264,10-Jan-2021 - 00:00,11-Jan-2021 - 00:00,112.46,210.98,23.11,38.81,61.92,90.86,3.36,0.81,22.35,7.01,62.19,0.66,177.42,117.51,0.0
265,11-Jan-2021 - 00:00,12-Jan-2021 - 00:00,89.66,175.08,19.69,35.92,55.61,85.64,5.2,0.61,20.44,4.95,66.79,0.78,118.69,107.18,0.0
266,12-Jan-2021 - 00:00,13-Jan-2021 - 00:00,83.32,156.87,16.95,32.42,49.36,85.17,4.22,0.57,34.34,4.42,69.55,0.87,84.17,111.97,0.0
267,13-Jan-2021 - 00:00,14-Jan-2021 - 00:00,99.47,184.45,16.76,31.86,48.62,81.75,7.51,0.67,33.32,5.41,64.1,0.9,80.82,59.98,0.0
268,14-Jan-2021 - 00:00,15-Jan-2021 - 00:00,108.59,190.66,18.18,43.52,61.19,81.42,7.26,0.84,33.0,9.86,62.17,0.87,187.84,81.39,0.0
269,15-Jan-2021 - 00:00,16-Jan-2021 - 00:00,138.59,230.95,17.57,37.95,55.53,84.87,5.85,0.8,39.05,11.88,70.32,0.93,68.1,87.98,0.0
270,16-Jan-2021 - 00:00,17-Jan-2021 - 00:00,139.45,230.99,16.74,31.2,47.95,81.31,5.09,0.68,33.51,10.17,76.31,0.93,103.3,83.24,0.0
271,17-Jan-2021 - 00:00,18-Jan-2021 - 00:00,123.2,214.68,16.47,30.51,46.98,76.34,4.81,0.67,34.74,9.61,73.1,0.97,75.57,112.04,0.0
272,18-Jan-2021 - 00:00,19-Jan-2021 - 00:00,140.34,252.23,27.66,43.42,71.09,82.8,5.15,0.9,25.08,12.4,70.37,0.85,143.12,115.4,0.0
273,19-Jan-2021 - 00:00,20-Jan-2021 - 00:00,157.81,264.9,21.27,46.2,67.47,85.1,6.4,1.03,31.82,14.94,68.62,0.8,153.5,86.99,0.0
274,20-Jan-2021 - 00:00,21-Jan-2021 - 00:00,137.95,249.45,20.44,42.03,62.46,78.66,7.41,0.79,25.39,13.88,58.98,0.88,125.86,116.09,0.0
275,21-Jan-2021 - 00:00,22-Jan-2021 - 00:00,98.83,198.83,17.6,35.44,53.05,74.58,7.36,0.69,29.41,11.41,57.79,0.82,144.72,115.25,0.0
276,22-Jan-2021 - 00:00,23-Jan-2021 - 00:00,119.34,208.8,16.97,35.35,52.32,76.44,7.04,0.73,36.61,10.48,62.67,0.72,196.36,133.9,0.0
277,23-Jan-2021 - 00:00,24-Jan-2021 - 00:00,128.17,244.07,17.44,33.59,51.03,75.29,6.45,0.87,36.13,12.01,71.51,0.84,174.49,134.56,0.0
278,24-Jan-2021 - 00:00,25-Jan-2021 - 00:00,125.91,224.37,16.72,29.5,46.23,75.16,6.49,0.68,49.66,19.42,63.35,0.86,96.35,154.38,0.0
279,25-Jan-2021 - 00:00,26-Jan-2021 - 00:00,104.29,200.02,17.12,33.14,50.26,75.42,6.6,0.72,29.56,11.58,75.87,1.22,65.91,82.74,0.0
280,26-Jan-2021 - 00:00,27-Jan-2021 - 00:00,87.65,156.13,16.48,27.68,44.16,69.88,4.84,0.58,31.38,8.71,66.7,1.17,71.49,125.11,0.0
281,27-Jan-2021 - 00:00,28-Jan-2021 - 00:00,86.72,163.06,15.5,29.93,45.42,65.95,4.24,0.54,32.91,7.41,62.45,1.47,40.99,137.12,0.0
282,28-Jan-2021 - 00:00,29-Jan-2021 - 00:00,85.3,157.23,20.85,43.03,63.88,65.54,5.3,0.74,31.17,8.29,62.29,1.76,104.15,136.12,0.0
283,29-Jan-2021 - 00:00,30-Jan-2021 - 00:00,143.43,246.71,17.11,41.07,58.17,63.06,10.99,0.96,28.68,13.94,68.33,2.11,130.76,70.22,0.0
284,30-Jan-2021 - 00:00,31-Jan-2021 - 00:00,111.37,195.43,15.48,32.44,47.92,60.37,5.24,0.66,31.51,10.03,63.15,2.36,122.48,112.98,0.0
285,31-Jan-2021 - 00:00,01-Feb-2021 - 00:00,99.57,168.65,14.96,29.49,44.45,58.72,4.95,0.7,31.78,11.37,59.18,1.24,173.36,134.09,0.0
286,01-Feb-2021 - 00:00,02-Feb-2021 - 00:00,91.72,162.99,11.44,38.61,50.05,27.39,4.89,0.78,35.85,8.83,51.42,0.77,136.8,149.26,0.0
287,02-Feb-2021 - 00:00,03-Feb-2021 - 00:00,96.87,184.08,12.07,38.9,51.06,24.19,4.94,0.9,34.35,10.26,51.5,0.78,177.65,123.58,0.0
288,03-Feb-2021 - 00:00,04-Feb-2021 - 00:00,125.5,220.36,13.11,53.61,66.73,29.19,4.63,0.7,34.16,11.88,54.67,0.74,161.99,121.02,0.0
289,04-Feb-2021 - 00:00,05-Feb-2021 - 00:00,132.44,223.17,13.85,42.12,55.97,26.51,4.63,0.85,30.85,11.74,53.11,0.66,149.1,148.61,0.0
290,05-Feb-2021 - 00:00,06-Feb-2021 - 00:00,149.36,262.54,24.46,43.38,67.84,29.04,5.28,1.07,24.7,17.53,57.26,0.78,204.24,96.03,0.0
291,06-Feb-2021 - 00:00,07-Feb-2021 - 00:00,112.06,207.79,13.47,42.76,56.23,26.36,4.45,0.74,29.59,10.16,56.69,1.24,104.36,115.13,0.0
292,07-Feb-2021 - 00:00,08-Feb-2021 - 00:00,44.25,105.69,11.59,29.97,41.56,22.77,3.86,0.57,32.32,16.75,57.39,0.98,114.34,141.58,0.0
293,08-Feb-2021 - 00:00,09-Feb-2021 - 00:00,66.9,129.36,11.21,27.5,43.39,23.73,3.59,0.59,33.49,6.49,50.01,0.77,142.93,187.71,0.0
294,09-Feb-2021 - 00:00,10-Feb-2021 - 00:00,95.03,195.62,13.12,46.0,54.19,26.87,6.36,0.95,34.59,9.78,53.42,0.78,174.03,203.95,0.0
295,10-Feb-2021 - 00:00,11-Feb-2021 - 00:00,115.89,227.08,18.2,59.69,77.88,32.74,12.97,1.11,41.82,17.81,46.21,0.83,117.9,236.21,0.0
296,11-Feb-2021 - 00:00,12-Feb-2021 - 00:00,101.81,186.18,12.39,40.67,53.06,26.15,16.73,0.58,41.46,12.45,51.25,0.84,144.82,188.93,0.0
297,12-Feb-2021 - 00:00,13-Feb-2021 - 00:00,97.64,207.87,15.05,43.74,58.66,27.29,18.68,0.81,27.66,9.55,47.72,0.78,155.55,168.09,0.0
298,13-Feb-2021 - 00:00,14-Feb-2021 - 00:00,98.6,183.09,13.97,35.54,49.51,24.87,19.94,0.91,28.54,11.94,47.14,0.88,124.36,113.04,0.0
299,14-Feb-2021 - 00:00,15-Feb-2021 - 00:00,,184.17,,,,,21.34,0.86,33.47,9.5,48.04,1.12,152.56,143.55,0.0
300,15-Feb-2021 - 00:00,16-Feb-2021 - 00:00,64.77,181.24,13.66,52.61,66.27,27.76,14.16,0.97,28.61,9.52,46.21,0.94,129.08,169.56,0.0
301,16-Feb-2021 - 00:00,17-Feb-2021 - 00:00,99.53,203.07,12.76,34.97,47.74,24.19,6.4,1.01,40.12,12.33,46.27,0.82,155.16,158.2,0.0
302,17-Feb-2021 - 00:00,18-Feb-2021 - 00:00,67.01,151.8,13.43,37.01,50.44,35.68,7.47,0.83,31.83,19.87,51.98,0.81,195.97,102.32,0.0
303,18-Feb-2021 - 00:00,19-Feb-2021 - 00:00,76.71,172.33,20.93,41.62,62.54,74.93,8.83,0.81,34.48,17.93,53.24,0.71,137.89,147.81,0.0
304,19-Feb-2021 - 00:00,20-Feb-2021 - 00:00,95.78,205.65,18.87,38.29,57.21,77.36,10.08,0.79,31.38,9.39,53.13,0.93,142.7,93.31,0.0
305,20-Feb-2021 - 00:00,21-Feb-2021 - 00:00,94.58,192.26,20.49,40.33,60.82,77.03,11.39,0.84,28.07,12.99,48.71,0.88,141.66,138.5,0.0
306,21-Feb-2021 - 00:00,22-Feb-2021 - 00:00,86.04,192.26,19.29,35.73,55.03,75.79,12.26,0.78,32.25,10.54,44.87,0.76,144.03,161.68,0.0
307,22-Feb-2021 - 00:00,23-Feb-2021 - 00:00,82.16,178.56,21.09,41.73,62.82,73.13,12.55,0.96,30.99,8.65,43.93,0.85,144.38,155.36,0.0
308,23-Feb-2021 - 00:00,24-Feb-2021 - 00:00,95.03,206.04,19.19,49.62,68.81,74.19,13.28,0.89,37.8,10.36,48.92,0.82,212.45,142.88,0.0
