,From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3),RF (mm)
115,14-Aug-2020 - 00:00,15-Aug-2020 - 00:00,14.66,29.07,4.82,18.96,14.0,22.07,10.96,0.22,6.58,0.27,2.24,29.83,87.6,6.73,243.29,40.17,0.0,
116,15-Aug-2020 - 00:00,16-Aug-2020 - 00:00,8.55,14.02,4.58,8.1,7.68,21.51,6.41,0.22,8.26,0.02,0.36,33.31,93.23,5.86,266.34,19.66,0.0,
117,16-Aug-2020 - 00:00,17-Aug-2020 - 00:00,5.35,7.5,5.32,19.02,14.18,17.32,8.77,0.22,8.48,0.07,0.5,33.04,93.2,6.58,267.54,29.86,0.0,
118,17-Aug-2020 - 00:00,18-Aug-2020 - 00:00,14.61,22.67,8.82,25.9,20.58,34.06,16.1,0.26,6.95,0.35,2.13,33.36,89.52,5.42,264.31,54.61,0.05,
119,18-Aug-2020 - 00:00,19-Aug-2020 - 00:00,19.69,36.79,6.2,21.01,15.54,59.53,21.73,0.23,8.39,0.65,7.4,33.16,83.88,6.49,160.84,83.46,0.09,
120,19-Aug-2020 - 00:00,20-Aug-2020 - 00:00,21.13,39.2,7.39,19.34,15.72,47.58,24.16,0.28,6.98,0.48,10.01,33.03,90.95,4.64,194.82,30.43,0.16,
121,20-Aug-2020 - 00:00,21-Aug-2020 - 00:00,17.35,25.52,6.8,18.08,14.4,59.75,19.16,0.23,7.0,0.53,5.83,33.72,93.21,5.85,228.81,38.86,0.08,
122,21-Aug-2020 - 00:00,22-Aug-2020 - 00:00,8.62,,4.74,12.26,9.99,18.5,7.63,0.23,7.88,0.02,0.21,33.77,90.87,6.8,266.17,45.3,0.0,
123,22-Aug-2020 - 00:00,23-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,
124,23-Aug-2020 - 00:00,24-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,
125,24-Aug-2020 - 00:00,25-Aug-2020 - 00:00,16.8,45.32,3.49,11.16,8.78,16.81,10.92,0.3,8.99,0.04,1.67,27.95,70.91,4.55,218.68,176.05,0.11,
126,25-Aug-2020 - 00:00,26-Aug-2020 - 00:00,20.14,48.2,10.7,18.65,18.62,28.77,10.05,0.32,6.0,0.11,7.56,28.16,78.02,3.99,144.9,123.6,0.05,
127,26-Aug-2020 - 00:00,27-Aug-2020 - 00:00,35.69,90.04,7.83,16.47,15.13,55.79,16.66,0.24,6.5,0.24,13.44,27.76,77.26,3.91,67.15,100.21,0.16,
