,From Date,To Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2)
91,21-Jul-2020 - 00:00,22-Jul-2020 - 00:00,39.8,3.1,15.34,18.38,3.98,0.3,20.67,0.06,0.12,0.07,,0.02,29.68,,0.51,200.96,93.34
92,22-Jul-2020 - 00:00,23-Jul-2020 - 00:00,38.85,2.88,9.22,12.08,2.62,0.4,24.64,0.05,0.09,,,0.25,29.72,,0.45,242.47,74.08
93,23-Jul-2020 - 00:00,24-Jul-2020 - 00:00,42.63,2.56,7.98,10.51,3.76,0.27,38.79,0.08,0.11,0.09,,0.8,29.7,,0.5,235.61,87.78
94,24-Jul-2020 - 00:00,25-Jul-2020 - 00:00,66.95,3.18,6.47,9.39,6.5,0.42,26.9,0.0,0.0,,,0.8,29.32,,0.43,242.56,78.66
95,25-Jul-2020 - 00:00,26-Jul-2020 - 00:00,64.84,2.35,8.87,11.17,2.51,0.38,21.83,0.0,0.0,,,0.8,29.17,,0.62,180.69,76.17
96,26-Jul-2020 - 00:00,27-Jul-2020 - 00:00,48.72,2.37,7.75,10.08,2.24,0.32,15.0,0.0,0.0,,,0.8,28.62,,0.44,143.66,71.58
97,27-Jul-2020 - 00:00,28-Jul-2020 - 00:00,44.36,2.76,11.36,14.06,3.36,0.39,17.28,0.23,0.77,0.11,,0.42,30.08,,0.45,95.17,74.39
98,28-Jul-2020 - 00:00,29-Jul-2020 - 00:00,27.24,2.33,19.67,21.9,4.72,0.55,14.71,0.18,0.44,0.19,,0.03,28.86,,0.67,122.33,62.84
99,29-Jul-2020 - 00:00,30-Jul-2020 - 00:00,18.94,2.42,11.41,13.77,6.29,0.37,10.84,0.24,0.41,0.08,,0.05,25.92,,0.17,75.67,23.2
100,30-Jul-2020 - 00:00,31-Jul-2020 - 00:00,29.71,1.68,7.02,8.6,4.08,0.38,21.66,0.1,0.26,0.13,,0.05,29.48,,0.4,144.08,84.91
101,31-Jul-2020 - 00:00,01-Aug-2020 - 00:00,14.27,1.67,9.76,11.27,5.48,0.36,20.79,0.24,0.22,0.41,,0.08,30.12,,0.47,240.0,82.15
102,01-Aug-2020 - 00:00,02-Aug-2020 - 00:00,11.66,2.58,9.63,12.15,2.05,0.35,18.64,0.33,0.61,0.26,,0.06,28.63,,0.62,179.22,51.63
103,02-Aug-2020 - 00:00,03-Aug-2020 - 00:00,20.07,2.22,8.34,10.43,2.55,0.34,27.42,0.0,0.0,,,,28.55,,0.45,187.08,69.78
104,03-Aug-2020 - 00:00,04-Aug-2020 - 00:00,11.36,3.48,10.12,13.27,5.81,0.38,11.28,0.04,0.1,0.06,,0.01,27.3,,0.33,156.27,33.85
105,04-Aug-2020 - 00:00,05-Aug-2020 - 00:00,57.25,5.16,15.81,20.56,5.42,0.8,14.04,0.14,0.57,0.18,,0.09,29.35,,0.53,258.43,44.9
106,05-Aug-2020 - 00:00,06-Aug-2020 - 00:00,12.85,2.52,10.59,13.02,2.25,0.51,16.24,0.26,0.29,0.25,,0.13,29.54,,0.62,285.79,55.07
107,06-Aug-2020 - 00:00,07-Aug-2020 - 00:00,23.47,1.67,8.61,10.09,5.01,0.38,21.79,0.19,0.25,0.26,,0.05,29.47,,0.48,276.83,70.27
108,07-Aug-2020 - 00:00,08-Aug-2020 - 00:00,12.84,2.64,9.32,11.74,3.98,0.43,16.49,0.0,0.0,,,,33.51,73.09,0.22,211.9,74.93
109,08-Aug-2020 - 00:00,09-Aug-2020 - 00:00,96.69,2.48,9.89,12.24,3.77,0.53,17.2,0.0,0.0,,,,,69.93,0.48,182.71,58.14
